algorithm,case,csv_path,frames,valid_frames,duration_s,false_alarm,alarm_wheels,candidate_entries
wheel_speed_only_baseline,CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260702_2_P182_0_120_4W300_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,198300,131104,1982.99,False,,61
wheel_speed_only_baseline,CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,412200,262365,4121.99,False,,364
wheel_speed_only_baseline,CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260703_2_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,415800,239527,4157.99,False,,402
wheel_speed_only_baseline,CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny,robust_data_results/cases/CityRoad/20260704_1_P182_0_120_4W300_robust_cityroad_Sunny/wheel_speed_raw_vs_corrected.csv,444900,268946,4448.99,False,,432
wheel_speed_only_baseline,CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_1_P182_0_120_4W287_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,170000,98294,1699.99,False,,92
wheel_speed_only_baseline,CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy,robust_data_results/cases/CityRoad/20260705_2_P182_0_120_4W313_robust_cityroad_Cloudy/wheel_speed_raw_vs_corrected.csv,238200,150439,2381.99,False,,89
wheel_speed_only_baseline,CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain,robust_data_results/cases/CityRoad/20260706_1_P182_0_120_4W260_robust_cityroad_Rain/wheel_speed_raw_vs_corrected.csv,189900,106252,1898.99,False,,682
wheel_speed_only_baseline,HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_1_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,236600,189075,2365.99,False,,1507
wheel_speed_only_baseline,HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260714_2_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,431900,286475,4318.99,False,,4291
wheel_speed_only_baseline,HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,196800,166399,1967.99,False,,364
wheel_speed_only_baseline,HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,228600,201395,2285.99,False,,1131
wheel_speed_only_baseline,HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_5_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175700,151574,1756.99,False,,163
wheel_speed_only_baseline,HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_6_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,175200,161690,1751.99,False,,332
wheel_speed_only_baseline,HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_7_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,217000,213556,2169.99,False,,139
wheel_speed_only_baseline,HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260714_8_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,289100,264977,2890.99,False,,184
wheel_speed_only_baseline,HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_1_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,291400,279508,2913.99,False,,278
wheel_speed_only_baseline,HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_2_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,223700,212761,2236.99,False,,93
wheel_speed_only_baseline,HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_3_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,173000,167190,1729.99,False,,53
wheel_speed_only_baseline,HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny,robust_data_results/cases/HillRoad/20260715_4_P182_0_120_4W250_robust_hillway__Sunny/wheel_speed_raw_vs_corrected.csv,234800,223979,2347.99,False,,124
wheel_speed_only_baseline,HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_5_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,184300,100983,1842.99,False,,1591
wheel_speed_only_baseline,HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_6_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,245900,121042,2458.99,False,,1734
wheel_speed_only_baseline,HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny,robust_data_results/cases/HillRoad/20260715_7_P182_0_180_4W250_robust_highway__Sunny/wheel_speed_raw_vs_corrected.csv,296900,208116,2968.99,False,,2886
wheel_speed_only_baseline,Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_1_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,234900,99065,2348.99,False,,87
wheel_speed_only_baseline,Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_2_P182_Load500kg_55kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,102500,98171,1024.99,False,,3
wheel_speed_only_baseline,Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny,robust_data_results/cases/Load/20260707_3_P182_Load500kg_75kph_4W260_SongzeGaojia_Sunny/wheel_speed_raw_vs_corrected.csv,119500,109893,1194.99,False,,34
wheel_speed_only_baseline,Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_4_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,228800,137679,2287.99,False,,546
wheel_speed_only_baseline,Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_5_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,233200,179773,2331.99,False,,525
wheel_speed_only_baseline,Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny,robust_data_results/cases/Load/20260707_6_P182_Load500kg_0_120_4W260_CityRoad_Sunny/wheel_speed_raw_vs_corrected.csv,223100,131517,2230.99,False,,547
